(.venv) PS C:\Users\ADOLFO\Desktop\MY\MARIO_G> python .\snake_ia.py
pygame 2.6.1 (SDL 2.28.4, Python 3.10.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Gen 179 | Mejor Score: 1 | Récord: 4
Gen 180 | Mejor Score: 2 | Récord: 4
Gen 181 | Mejor Score: 2 | Récord: 4
Gen 182 | Mejor Score: 1 | Récord: 4
Gen 183 | Mejor Score: 2 | Récord: 4
Gen 184 | Mejor Score: 2 | Récord: 4
Gen 185 | Mejor Score: 3 | Récord: 4
Gen 186 | Mejor Score: 2 | Récord: 4
Gen 187 | Mejor Score: 3 | Récord: 4
Gen 188 | Mejor Score: 3 | Récord: 4
Gen 189 | Mejor Score: 3 | Récord: 4
Gen 190 | Mejor Score: 3 | Récord: 4
Gen 191 | Mejor Score: 4 | Récord: 4
Gen 192 | Mejor Score: 9 | Récord: 9
Gen 193 | Mejor Score: 4 | Récord: 9
Gen 194 | Mejor Score: 4 | Récord: 9
Gen 195 | Mejor Score: 4 | Récord: 9
Gen 196 | Mejor Score: 8 | Récord: 9
Gen 197 | Mejor Score: 10 | Récord: 10
Gen 198 | Mejor Score: 7 | Récord: 10
Gen 199 | Mejor Score: 6 | Récord: 10
Gen 200 | Mejor Score: 6 | Récord: 10
Gen 201 | Mejor Score: 9 | Récord: 10
Gen 202 | Mejor Score: 8 | Récord: 10
Gen 203 | Mejor Score: 8 | Récord: 10
Gen 204 | Mejor Score: 8 | Récord: 10
Gen 205 | Mejor Score: 11 | Récord: 11
Gen 206 | Mejor Score: 9 | Récord: 11
Gen 207 | Mejor Score: 10 | Récord: 11
Gen 208 | Mejor Score: 12 | Récord: 12
Gen 209 | Mejor Score: 10 | Récord: 12
Gen 210 | Mejor Score: 13 | Récord: 13
Gen 211 | Mejor Score: 9 | Récord: 13
Gen 212 | Mejor Score: 12 | Récord: 13
Gen 213 | Mejor Score: 8 | Récord: 13
Gen 214 | Mejor Score: 10 | Récord: 13
Gen 215 | Mejor Score: 10 | Récord: 13
Gen 216 | Mejor Score: 11 | Récord: 13
Gen 217 | Mejor Score: 9 | Récord: 13
Gen 218 | Mejor Score: 9 | Récord: 13
Gen 219 | Mejor Score: 10 | Récord: 13
Gen 220 | Mejor Score: 9 | Récord: 13
Gen 221 | Mejor Score: 12 | Récord: 13
Gen 222 | Mejor Score: 11 | Récord: 13
Gen 223 | Mejor Score: 14 | Récord: 14
Gen 224 | Mejor Score: 12 | Récord: 14
Gen 225 | Mejor Score: 12 | Récord: 14
Gen 226 | Mejor Score: 10 | Récord: 14
Gen 227 | Mejor Score: 12 | Récord: 14
Gen 228 | Mejor Score: 15 | Récord: 15
Gen 229 | Mejor Score: 15 | Récord: 15
Gen 230 | Mejor Score: 15 | Récord: 15
